CI_ID,Serial_Number,Discovered_User,Discovered_Encryption,Last_Discovery_Date,Discovery_Source
CI543119,APP5273041157,user4339,Encrypted,2024-10-21,Intune
CI368511,DEL3365681158,user9287,Encrypted,2024-10-18,JAMF
CI640509,HP4230111162,user6919,,2024-08-11,Intune
CI749507,LEN2496521163,user8291,Encrypted,2024-09-22,Intune
CI103380,LEN8188861164,user9159,Encrypted,2024-09-29,SCCM
CI120917,DEL7097731165,user6625,Encrypted,2024-09-16,SCCM
CI231349,LEN9762881166,user6352,Encrypted,2024-08-04,JAMF
CI198060,APP6453471167,user9759,Unknown,2024-08-02,SCCM
CI924762,MIC2111341168,user3947,Encrypted,2024-09-08,Intune
CI468096,HP4731781169,user4311,Encrypted,2024-09-04,JAMF
CI668564,LEN8560371170,user1848,Encrypted,2024-09-11,SCCM
CI131598,HP2379151171,user5964,,2024-10-06,JAMF
CI599737,APP7409751172,user3065,,2024-10-12,Intune
CI900095,LEN3711821173,user5831,,2024-10-11,SCCM
CI448989,LEN9707751174,user4690,Encrypted,2024-09-29,JAMF
CI224624,LEN3483321175,user2113,,2024-08-17,SCCM
CI887201,APP2785841176,user4945,,2024-08-03,JAMF
CI402570,LEN6547941177,user1896,Unknown,2024-10-23,SCCM
CI767314,DEL3047191179,user8204,Not Encrypted,2024-10-18,Intune
CI398359,APP4433431181,user6352,Unknown,2024-10-04,Intune
CI342001,DEL9483731182,user7597,Encrypted,2024-10-29,Intune
CI992224,HP1505661183,user1475,,2024-10-16,Intune
CI670806,HP2784681184,user9553,Encrypted,2024-10-11,JAMF
CI985418,MIC6434901185,user6710,Encrypted,2024-08-27,SCCM
CI812546,HP1150871186,user8403,Encrypted,2024-10-22,SCCM
CI718097,DEL4583181187,user1486,,2024-10-18,SCCM
CI201984,APP2317531190,user1170,Encrypted,2024-08-04,JAMF
CI321247,LEN2289921191,user2655,,2024-09-18,Intune
CI487121,HP1826961192,user7587,,2024-09-14,Intune
CI741015,MIC4060781193,user8048,,2024-10-22,Intune
CI256317,LEN3516411194,user4726,Unknown,2024-09-16,JAMF
CI421110,APP1012811196,,,2024-09-26,SCCM
CI472021,LEN3410851197,user8426,Encrypted,2024-08-29,JAMF
CI899882,APP6302191198,user1058,Encrypted,2024-09-19,Intune
CI433702,MIC2292741199,user8433,,2024-08-12,Intune
CI399205,APP7193381200,user1575,Encrypted,2024-09-10,JAMF
CI195518,APP3632641201,user8364,Encrypted,2024-10-05,Intune
CI556310,MIC7870361202,user1647,Not Encrypted,2024-08-09,SCCM
CI489302,DEL2673111203,user5458,,2024-10-03,JAMF
CI904919,MIC8656591204,user8628,Not Encrypted,2024-08-22,SCCM
CI345138,APP7770511205,user3622,,2024-10-15,Intune
CI722113,DEL2780851206,user7543,Encrypted,2024-10-21,Intune
CI506737,DEL5874261207,user3159,Unknown,2024-10-30,JAMF
CI137491,DEL3141121208,user3812,Encrypted,2024-08-25,SCCM
CI377117,MIC6200701209,user5576,,2024-09-01,JAMF
CI947908,LEN6667471213,user2489,Unknown,2024-08-23,Intune
CI176232,MIC6244971214,user7215,Encrypted,2024-08-27,Intune
CI634741,LEN1457301215,user3140,Encrypted,2024-09-17,Intune
CI554091,HP5526631216,user9647,Encrypted,2024-09-01,JAMF
CI465346,APP1242661218,user5130,Encrypted,2024-10-29,Intune
CI897942,MIC3568421220,user8864,Unknown,2024-08-27,JAMF
CI418754,MIC1969581221,user9575,Encrypted,2024-10-14,Intune
CI310228,LEN3133361222,user1197,,2024-10-14,JAMF
CI233530,APP2446491223,user1879,,2024-10-03,JAMF
CI190067,HP2475741224,user3445,Encrypted,2024-08-17,SCCM
CI983438,DEL3330661225,user4156,,2024-08-07,SCCM
CI702580,DEL1728161226,user9994,,2024-08-02,JAMF
CI106460,MIC3540731227,user9892,Encrypted,2024-08-04,SCCM
CI202727,DEL4924411228,user4375,Encrypted,2024-10-10,SCCM
CI987722,HP2122721229,user5912,,2024-10-16,JAMF
CI349981,DEL6607341230,user7911,,2024-08-25,Intune
CI811538,DEL3894711231,user7556,Encrypted,2024-08-05,SCCM
CI795107,APP9454421232,,Encrypted,2024-09-01,JAMF
CI111127,HP2581411233,user7199,Encrypted,2024-10-04,SCCM
CI408968,MIC8031541234,user2564,,2024-08-13,Intune
CI446190,HP9454571235,user5710,Encrypted,2024-08-07,JAMF
CI628866,MIC9547751236,user1716,,2024-09-19,JAMF
CI224074,LEN6207971237,user9648,Unknown,2024-09-12,Intune
CI204023,HP1138471238,user5522,Encrypted,2024-08-10,SCCM
CI228518,HP8944741239,,Encrypted,2024-10-24,JAMF
CI330970,MIC7592251240,user6384,Unknown,2024-10-05,JAMF
CI658737,HP7278281241,user9950,,2024-08-11,Intune
CI613163,DEL9125351242,user7294,,2024-08-23,JAMF
CI381068,LEN5881351243,user9995,Not Encrypted,2024-10-14,SCCM
CI938739,LEN8013811244,,,2024-10-18,Intune
CI998591,APP1937871245,user6974,,2024-08-21,Intune
CI125156,APP3957711246,user9563,,2024-08-11,JAMF
CI220726,MIC9998371247,user2222,Encrypted,2024-10-25,Intune
CI152581,DEL1951211248,user6406,Encrypted,2024-08-30,Intune
CI515025,DEL4533281249,user6243,,2024-10-10,SCCM
CI914788,MIC9107211251,user7058,,2024-09-02,JAMF
CI443265,APP1522301253,user8520,,2024-09-17,Intune
CI117269,HP2450841255,user7568,Encrypted,2024-08-12,SCCM
CI886118,APP4508621256,user4829,Encrypted,2024-09-25,JAMF
CI561275,DEL5499061257,user6363,,2024-09-06,Intune
CI133013,HP8386831258,user8148,,2024-08-30,SCCM
CI923103,MIC6055661259,user3874,,2024-10-25,SCCM
CI801412,APP9778151260,user7094,,2024-09-22,SCCM
CI134268,LEN5332801261,user1484,Encrypted,2024-08-20,JAMF
CI164360,HP5194951262,user1316,,2024-10-05,JAMF
CI550634,DEL2676771263,user4667,,2024-08-15,Intune
CI431299,HP3296211264,user6325,Not Encrypted,2024-10-19,JAMF
CI118485,APP9567951265,user5890,Encrypted,2024-10-31,Intune
CI122887,APP7148681266,user5338,,2024-10-29,SCCM
CI742487,DEL1107261267,user2369,Encrypted,2024-10-30,Intune
CI324065,HP7002281268,user1533,Encrypted,2024-10-04,JAMF
CI870413,HP2190361269,user6429,,2024-08-14,JAMF
CI292970,LEN3021111270,user4410,,2024-09-09,Intune
CI545950,HP8892191271,user4776,,2024-09-19,JAMF
CI843294,DEL4897501272,user8882,,2024-09-26,Intune
CI888750,APP1797051273,user3169,Encrypted,2024-08-27,Intune
CI453378,HP2487581274,user7531,,2024-09-23,SCCM
CI888160,APP1640511275,user6167,Encrypted,2024-09-21,SCCM
CI756411,HP6425591276,user4895,,2024-10-05,Intune
CI273327,APP7588021277,user9933,Encrypted,2024-10-12,JAMF
CI593629,DEL8943521278,user4248,Encrypted,2024-08-18,JAMF
CI455117,LEN9180351280,user6937,,2024-10-12,JAMF
CI836780,LEN5689461281,user7647,Encrypted,2024-08-07,JAMF
CI990322,LEN7228761282,user5709,Encrypted,2024-08-18,Intune
CI609979,APP1699951283,user6919,,2024-10-05,SCCM
CI177416,DEL1981951284,user3626,Encrypted,2024-08-07,SCCM
CI775021,DEL2361041285,user7526,Unknown,2024-10-06,JAMF
CI779924,MIC2537351286,user8285,Encrypted,2024-09-30,Intune
CI891939,HP9284161288,,,2024-10-25,SCCM
CI667423,MIC2979561289,user9100,Encrypted,2024-10-07,SCCM
CI616775,LEN7004141290,user4217,Encrypted,2024-09-24,Intune
CI261553,LEN1662901291,user8108,,2024-10-17,SCCM
CI303598,LEN7098001292,user1262,Encrypted,2024-08-14,SCCM
CI367576,LEN5154241293,user5518,,2024-09-04,JAMF
CI575256,APP4856061294,user7621,,2024-08-10,JAMF
CI373182,LEN9821221295,user1671,Unknown,2024-10-28,SCCM
CI335977,LEN3215361296,user7960,Encrypted,2024-10-29,Intune
CI595631,HP3948691297,user5558,Encrypted,2024-08-24,Intune
CI467262,APP9527081298,user7794,Encrypted,2024-08-14,SCCM
CI380886,DEL5431151299,user1961,,2024-09-15,SCCM
CI770218,APP7095941300,user1242,,2024-08-26,Intune
CI508576,LEN4427111302,user2427,Encrypted,2024-08-15,JAMF
CI278433,LEN6562711303,user7027,Encrypted,2024-09-07,JAMF
CI663299,MIC6263821304,user9827,Encrypted,2024-09-04,Intune
CI107706,APP9099181305,user2686,,2024-09-16,Intune
CI427776,MIC1502521306,user5888,Encrypted,2024-10-27,Intune
CI628377,DEL8888071307,user5901,,2024-10-13,Intune
CI711172,HP9386601308,user7305,Unknown,2024-09-20,JAMF
CI470232,DEL3942411309,user7902,Encrypted,2024-10-29,SCCM
CI760322,DEL7805521311,user1963,Encrypted,2024-09-13,JAMF
CI244887,HP8339111312,user7961,,2024-08-11,SCCM
CI723429,LEN6976411313,user2947,,2024-08-20,Intune
CI963624,MIC1772691314,user9666,,2024-10-05,SCCM
CI226581,APP1116171315,user7729,Encrypted,2024-09-30,Intune
CI790970,MIC7325031316,user3528,Encrypted,2024-10-30,SCCM
CI957070,LEN6507031317,user7723,Encrypted,2024-10-13,SCCM
CI456153,HP1697281318,user1161,Not Encrypted,2024-09-13,Intune
CI170936,APP1741521319,user5657,,2024-08-26,JAMF
CI295490,HP9240801320,user7287,Encrypted,2024-09-11,JAMF
CI309273,DEL7381961321,user8937,,2024-09-24,JAMF
CI290595,LEN5218401322,user1556,Not Encrypted,2024-09-07,JAMF
CI887985,APP4246601323,user5757,,2024-09-19,JAMF
CI108256,DEL9764261325,user5519,Encrypted,2024-10-06,JAMF
CI781362,MIC1000891326,user8349,,2024-10-24,SCCM
CI387962,DEL9151541327,user8707,,2024-10-29,SCCM
CI721212,MIC7315331329,user7429,Encrypted,2024-10-03,JAMF
CI117389,APP8981121330,user9840,,2024-09-07,JAMF
CI300013,DEL3922391331,user9912,Unknown,2024-08-23,SCCM
CI307474,APP3136191332,user8165,Encrypted,2024-09-16,Intune
CI889679,HP3093921334,user4643,Encrypted,2024-08-17,Intune
CI567671,APP1339191335,user2825,Encrypted,2024-09-21,SCCM
CI708840,HP6576561336,user8868,Encrypted,2024-08-22,JAMF
CI535246,DEL2386951337,user8961,,2024-08-20,Intune
CI673533,LEN5702071338,user3127,Encrypted,2024-08-25,Intune
CI739839,APP1919911339,user3117,Encrypted,2024-08-14,SCCM
CI511441,MIC4825581340,user4887,Encrypted,2024-08-02,Intune
CI768967,HP5512891341,user1811,Encrypted,2024-08-24,SCCM
CI604114,LEN3360641342,user5612,,2024-08-07,JAMF
CI487824,DEL2645211343,user6409,Encrypted,2024-10-19,Intune
CI986199,DEL6680771344,user7881,,2024-10-19,JAMF
CI436300,LEN8139701345,user2163,,2024-08-21,SCCM
CI517058,DEL3572101346,user5951,,2024-09-02,Intune
CI998383,MIC7118691347,user6240,,2024-10-28,SCCM
CI651475,MIC6806261348,user6408,Encrypted,2024-09-11,JAMF
CI887748,DEL2397341350,user8848,Encrypted,2024-08-17,JAMF
CI910711,DEL5963931351,user4061,Encrypted,2024-08-08,Intune
CI606724,MIC6413431352,user4734,,2024-08-08,Intune
CI728960,APP2932571354,user5028,,2024-10-20,SCCM
CI131876,HP8655791355,user7527,Encrypted,2024-09-21,JAMF
CI702384,MIC7714171356,user5713,,2024-09-28,Intune
CI812581,DEL9827511357,user7082,Encrypted,2024-08-17,JAMF
CI248741,APP8424621359,user8936,Encrypted,2024-10-25,SCCM
CI535052,MIC9127271360,user4400,Not Encrypted,2024-10-29,SCCM
CI420627,HP7926181361,user9743,Encrypted,2024-10-03,Intune
CI319915,LEN9562881362,user3676,Encrypted,2024-10-19,Intune
CI561397,LEN3149891363,user3315,Encrypted,2024-08-10,SCCM
CI924347,MIC8839081364,user7063,,2024-10-30,JAMF
CI394903,HP6235141366,user7657,,2024-08-26,JAMF
CI387540,LEN9476231367,user3618,,2024-08-28,SCCM
CI910048,DEL4104891368,user9393,,2024-08-13,SCCM
CI399241,MIC5280381369,user2040,,2024-09-29,Intune
CI976087,LEN7382821370,user9558,Unknown,2024-09-21,Intune
CI755360,HP1148481372,user9063,,2024-08-06,Intune
CI504256,HP3833931373,,Encrypted,2024-08-16,SCCM
CI701022,APP6480701375,user8972,,2024-09-24,Intune
CI990093,MIC1326401376,user4600,Encrypted,2024-08-05,JAMF
CI777204,MIC9843941377,user1040,,2024-09-19,SCCM
CI656768,DEL7225601378,user6118,Encrypted,2024-08-16,SCCM
CI704552,HP1593641379,user4735,Encrypted,2024-10-01,SCCM
CI645693,MIC6503251380,user6143,,2024-10-24,JAMF
CI912550,APP3203031381,user7399,Encrypted,2024-10-13,Intune
CI191716,MIC9245491382,user2782,Encrypted,2024-10-12,SCCM
CI926184,DEL9550921383,user2610,Not Encrypted,2024-09-02,SCCM
CI257193,APP6362211384,user4784,,2024-09-15,SCCM
CI679146,LEN4547531385,user4691,Encrypted,2024-10-17,JAMF
CI853481,APP1447821386,user6993,,2024-10-25,Intune
CI491611,DEL3762021387,user5486,,2024-08-28,SCCM
CI367534,MIC9318131388,user3496,Encrypted,2024-09-19,SCCM
CI654031,HP8608771390,user4799,Encrypted,2024-10-25,Intune
CI959333,HP4475261392,,,2024-08-10,JAMF
CI935770,HP9358161393,user9807,Encrypted,2024-08-09,JAMF
CI349843,LEN2204861394,user8979,,2024-10-11,JAMF
CI898262,DEL5358051397,user4066,Encrypted,2024-10-14,Intune
CI649080,APP2409571398,user9753,,2024-10-01,SCCM
CI113563,HP8763331399,user7897,,2024-08-29,JAMF
CI825348,APP4188141400,user6741,Encrypted,2024-08-22,SCCM
CI888025,LEN4999181401,user6844,Encrypted,2024-09-11,Intune
CI394210,HP8790401402,user9971,Encrypted,2024-08-17,Intune
CI143270,HP5915951403,user4746,,2024-08-07,Intune
CI491531,LEN5802351404,user2875,,2024-09-28,Intune
CI612960,MIC6608421406,user5098,,2024-10-28,SCCM
CI390260,DEL7735151407,user8440,,2024-10-04,Intune
CI685569,APP1348551408,user4214,Encrypted,2024-08-08,SCCM
CI965025,HP2763701409,,Encrypted,2024-10-03,Intune
CI963723,MIC3805051415,user6447,,2024-10-27,Intune
CI738083,APP8414201417,user5093,,2024-10-30,SCCM
CI585801,APP7699511419,user5886,Encrypted,2024-10-07,JAMF
CI832471,DEL9455741420,,,2024-09-07,JAMF
CI526757,HP4109421422,user3694,Encrypted,2024-09-18,Intune
CI661866,MIC3750041423,user1185,Unknown,2024-10-25,Intune
CI434618,HP7292311424,user4673,,2024-08-29,SCCM
CI304967,DEL3374201425,,Encrypted,2024-10-12,Intune
CI473744,APP6176021426,user2017,,2024-08-14,SCCM
CI872903,LEN1405301427,,Encrypted,2024-10-15,Intune
CI710731,APP3703401428,user3365,Encrypted,2024-09-04,SCCM
CI937553,LEN5007211429,user2633,Encrypted,2024-10-31,SCCM
CI899387,DEL8015041430,user3217,Encrypted,2024-08-17,Intune
CI168033,DEL9903801431,user4491,Not Encrypted,2024-09-11,JAMF
CI632629,LEN7121051434,user2065,,2024-08-07,JAMF
CI479561,MIC7956331435,user6582,,2024-10-31,JAMF
CI835057,LEN4791911436,user7385,Encrypted,2024-10-14,Intune
CI507710,APP9581661437,user2822,Encrypted,2024-09-15,JAMF
CI282665,LEN3851531438,user9871,Encrypted,2024-10-04,Intune
CI614306,MIC3861761440,user5868,,2024-08-10,SCCM
CI370264,MIC3036751441,,Encrypted,2024-09-29,Intune
CI289622,MIC1429231442,user8292,Encrypted,2024-09-28,SCCM
CI422181,HP7430541443,user6397,Encrypted,2024-10-26,Intune
CI802751,DEL3327971444,user4658,,2024-09-02,JAMF
CI831405,DEL9619491445,user8284,Encrypted,2024-10-25,JAMF
CI305524,MIC5508091446,user1010,,2024-09-20,SCCM
CI917805,LEN4892881447,user4826,,2024-09-17,SCCM
CI549636,APP6369001448,user6860,,2024-10-20,Intune
CI764027,APP2931321449,user1149,Encrypted,2024-08-09,JAMF
CI447490,HP6605441450,user7526,Not Encrypted,2024-10-01,JAMF
CI655703,DEL8084771451,user3365,,2024-10-06,JAMF
CI884717,HP7472191452,user4096,Encrypted,2024-10-31,SCCM
CI125425,APP7190161453,user2953,,2024-10-01,SCCM
CI127486,MIC1473511454,user4778,Encrypted,2024-10-14,Intune
CI997804,HP7335441455,user7122,Encrypted,2024-10-28,JAMF
CI695933,DEL4710881456,user2048,Encrypted,2024-09-28,JAMF
CI149607,APP9057041457,user8679,Encrypted,2024-10-23,JAMF
CI345496,LEN5732851458,user2710,,2024-09-07,JAMF
CI554364,APP4367521459,user8678,,2024-10-29,Intune
CI874786,DEL7633401460,user7330,Encrypted,2024-10-12,SCCM
CI231111,HP5341991461,user5660,Encrypted,2024-09-14,Intune
CI400373,LEN2557161462,user9812,Encrypted,2024-08-02,Intune
CI765236,LEN6806421463,user5224,,2024-08-31,JAMF
CI340405,HP9470381465,user6176,,2024-10-17,SCCM
CI811350,LEN1227331466,user1069,,2024-09-12,SCCM
CI811293,DEL5381901467,user7909,,2024-08-11,JAMF
CI223300,HP4892811468,user8161,,2024-09-10,SCCM
CI569865,HP4054571469,user3243,,2024-09-28,JAMF
CI208300,DEL8666521470,user4981,Encrypted,2024-10-19,JAMF
CI448849,LEN2183041471,user8653,,2024-09-30,Intune
CI631235,HP8085171472,user4481,Encrypted,2024-08-05,JAMF
CI428456,HP2395451473,user5686,Encrypted,2024-08-29,SCCM
CI717528,LEN1009581474,user4525,Encrypted,2024-08-16,SCCM
CI735027,DEL3277941476,user2688,,2024-09-18,Intune
CI575207,LEN6755781477,user8979,Encrypted,2024-10-05,Intune
CI301910,DEL5081711478,user2530,Encrypted,2024-10-12,JAMF
CI869437,MIC3174531479,user1460,Encrypted,2024-10-21,JAMF
CI445984,MIC5067381480,user9342,Encrypted,2024-08-10,Intune
CI639012,APP1045091481,user8944,,2024-09-16,JAMF
CI498818,HP4889951482,user5178,Encrypted,2024-09-26,SCCM
CI903603,LEN2311361483,,Encrypted,2024-08-18,SCCM
CI909161,DEL3271281485,user5836,Encrypted,2024-10-08,Intune
CI385630,MIC1168581487,user4842,,2024-10-25,Intune
CI124016,HP3557231488,user2445,,2024-10-15,JAMF
CI692134,DEL8362041489,user6386,,2024-08-24,SCCM
CI715944,HP7269151490,user5286,,2024-09-03,JAMF
CI512543,LEN6299051491,user5131,,2024-09-13,JAMF
CI889005,LEN9165051492,user7679,Encrypted,2024-10-12,SCCM
CI329028,LEN1520401493,user1340,,2024-10-14,Intune
CI112275,DEL8607321494,user1934,,2024-09-14,SCCM
CI374924,APP3462011495,user9623,Unknown,2024-08-13,JAMF
CI932586,DEL7518341496,user3944,,2024-10-28,JAMF
CI975821,HP7660441497,user3299,,2024-09-22,SCCM
CI222877,MIC4657971498,user2446,,2024-08-28,Intune
CI919515,HP7358601499,user6053,Unknown,2024-09-07,JAMF
CI481501,DEL5534481500,user4551,Unknown,2024-10-06,SCCM
CI270879,APP1897841501,user4190,Encrypted,2024-10-19,SCCM
CI223355,MIC4383921502,user8868,Encrypted,2024-10-31,SCCM
CI566646,LEN4456751503,user8222,Encrypted,2024-09-18,SCCM
CI343259,HP7831341504,user8021,Encrypted,2024-08-16,SCCM
CI265321,MIC1174691505,user1815,Unknown,2024-10-09,JAMF
CI979677,DEL4613701506,user8026,Encrypted,2024-09-01,Intune
CI223549,HP3050651507,user2964,Encrypted,2024-08-29,Intune
CI789087,MIC8597491509,user7105,,2024-09-30,SCCM
CI330145,APP7867271510,user4746,Encrypted,2024-09-19,SCCM
CI365136,HP1047971511,user8745,,2024-08-16,SCCM
CI524221,HP4787221512,user6006,,2024-10-21,JAMF
CI872356,HP5901461513,user4213,Encrypted,2024-09-18,SCCM
CI600289,MIC2390991514,user2801,,2024-10-22,Intune
CI472848,LEN7505791515,user4809,Not Encrypted,2024-09-01,SCCM
CI300682,DEL6781431516,user8548,Encrypted,2024-08-27,JAMF
CI850188,LEN1429681517,user2314,Encrypted,2024-08-21,Intune
CI181714,LEN2423041518,user1512,Encrypted,2024-08-21,SCCM
CI272166,HP2064341519,user3732,Not Encrypted,2024-08-05,SCCM
CI359001,LEN1879081520,user1970,Encrypted,2024-09-17,Intune
CI220964,DEL8100741521,user9844,Encrypted,2024-10-11,Intune
CI242683,APP4793871523,user5035,,2024-09-25,Intune
CI964428,APP9921691524,user4179,Encrypted,2024-10-21,JAMF
CI366617,MIC7737271525,user8926,,2024-09-20,Intune
CI592019,HP2481161526,user9121,Encrypted,2024-08-26,Intune
CI555996,DEL5828791527,user6279,Encrypted,2024-08-04,Intune
CI687367,DEL1592231528,user2326,,2024-10-29,JAMF
CI484535,DEL4247211529,user1560,Encrypted,2024-10-05,JAMF
CI731226,LEN8232801530,user4370,Encrypted,2024-10-15,SCCM
CI926784,LEN2822551532,user3769,Not Encrypted,2024-10-15,SCCM
CI551291,DEL1132431533,user5022,,2024-09-07,Intune
CI217724,APP3531721534,user1144,,2024-09-30,JAMF
CI210515,DEL4186961535,user2318,Encrypted,2024-10-06,JAMF
CI219941,MIC8215231536,user8309,,2024-09-11,JAMF
CI900581,HP4165921538,user5729,Not Encrypted,2024-10-20,Intune
CI143617,HP7566281539,user2585,,2024-09-10,JAMF
CI243064,LEN5071601540,user2775,Encrypted,2024-08-21,SCCM
CI764152,MIC8236171541,user4732,,2024-08-21,Intune
CI275291,HP2522041542,user6160,Not Encrypted,2024-09-23,JAMF
CI575043,HP4509221543,user7561,Encrypted,2024-08-16,SCCM
CI404788,APP6418871544,user6500,,2024-10-13,SCCM
CI206121,APP4843271545,user2542,Encrypted,2024-09-06,JAMF
CI485063,APP8315901546,user1877,Encrypted,2024-10-26,SCCM
CI274349,APP7437421547,user4966,Encrypted,2024-09-21,JAMF
CI330283,DEL8285971548,user6294,Encrypted,2024-10-23,SCCM
CI724442,MIC1731271549,user4964,Not Encrypted,2024-09-02,JAMF
CI784842,MIC2274161550,user4078,Encrypted,2024-09-18,JAMF
CI829627,MIC9093041551,user1863,,2024-09-20,Intune
CI594864,LEN7409721552,user1526,Not Encrypted,2024-09-22,SCCM
CI521653,DEL5748171553,user8708,Encrypted,2024-10-06,JAMF
CI525722,APP6507231554,user5429,Encrypted,2024-09-27,SCCM
CI966650,LEN4261551557,user8658,Encrypted,2024-10-19,SCCM
CI544184,DEL4350461558,,Encrypted,2024-09-19,Intune
CI406588,MIC6975281559,user1801,Encrypted,2024-10-17,Intune
CI388070,APP9214981560,user1266,Encrypted,2024-09-07,SCCM
CI522677,HP3496971561,user9476,,2024-08-06,SCCM
CI833292,DEL2851731562,user5657,Encrypted,2024-09-09,SCCM
CI977035,LEN7383501563,user9569,,2024-08-28,Intune
CI917671,DEL3711761564,user8705,Encrypted,2024-08-16,SCCM
CI944379,DEL9372041566,user4149,Encrypted,2024-09-29,SCCM
CI926666,LEN6424301570,user2168,Encrypted,2024-08-02,SCCM
CI398023,APP4958581573,user2296,Encrypted,2024-09-21,SCCM
CI865189,MIC5681891574,,Encrypted,2024-08-23,SCCM
CI683533,APP9216181575,user9001,Unknown,2024-08-04,Intune
CI810539,LEN5993301576,user1450,Encrypted,2024-10-29,SCCM
CI158430,LEN8910251577,user2446,Encrypted,2024-09-02,SCCM
CI662613,DEL4744131578,,Encrypted,2024-10-07,Intune
CI968256,LEN5932331581,user2253,Encrypted,2024-10-21,Intune
CI498701,APP7439411582,user7596,Encrypted,2024-09-16,Intune
CI514815,HP3439721583,user7821,Encrypted,2024-08-31,Intune
CI337313,HP1703441584,user7919,Encrypted,2024-09-03,JAMF
CI199187,HP7764781586,user9601,Encrypted,2024-09-10,JAMF
CI882645,APP3050961587,user3315,,2024-08-10,JAMF
CI962876,LEN4183351588,user1948,Encrypted,2024-10-27,SCCM
CI403236,MIC6583591589,user2590,,2024-08-28,JAMF
CI886893,DEL8226121590,user3127,Encrypted,2024-10-28,JAMF
CI444215,HP1879201591,user7579,Encrypted,2024-10-20,JAMF
CI216281,DEL8763671592,user2635,Encrypted,2024-09-30,Intune
CI898339,LEN9993491593,user2610,,2024-09-26,JAMF
CI672872,HP8235401594,user7265,Encrypted,2024-09-24,JAMF
CI649754,MIC4731241595,user2371,Encrypted,2024-10-22,Intune
CI101943,APP2459111596,user1182,Encrypted,2024-08-05,Intune
CI217906,HP6173101597,user5379,Unknown,2024-10-03,SCCM
CI337896,MIC9418401598,user1732,,2024-10-16,Intune
CI572367,MIC5078211600,user5253,Encrypted,2024-09-22,SCCM
CI293645,HP5082661601,user4893,Not Encrypted,2024-09-04,Intune
CI919667,HP3905541602,user5578,Encrypted,2024-09-25,JAMF
CI781581,MIC2766721603,user6286,Encrypted,2024-10-20,SCCM
CI246138,MIC5972681604,user2523,Encrypted,2024-09-26,SCCM
CI692194,LEN4984561605,user7780,Encrypted,2024-09-03,JAMF
CI682722,MIC3920721607,user1302,Encrypted,2024-08-07,Intune
CI444073,LEN4457711608,user6646,,2024-10-28,Intune
CI657711,MIC8975601609,user3563,,2024-08-05,JAMF
CI836405,MIC7410751610,user8140,Not Encrypted,2024-10-11,JAMF
CI854992,DEL7703561611,user9476,Encrypted,2024-10-02,Intune
CI286688,MIC1517101612,user2236,,2024-10-02,Intune
CI797992,LEN6198551614,user7601,,2024-09-07,Intune
CI521995,HP8737051615,user3515,,2024-09-02,SCCM
CI950762,LEN3724421616,user3215,Encrypted,2024-08-20,JAMF
CI309061,MIC5782391617,user2639,,2024-09-07,JAMF
CI329163,HP8968691618,user3913,Not Encrypted,2024-08-15,SCCM
CI956403,LEN9049721620,user1043,Encrypted,2024-09-20,JAMF
CI770944,HP9037331621,user9145,,2024-08-16,SCCM
CI645947,DEL6599051622,user8992,,2024-08-14,JAMF
CI795015,DEL1191291624,user7427,,2024-09-05,Intune
CI221744,LEN5824671626,user8653,Unknown,2024-10-07,JAMF
CI418920,DEL5171951627,user6121,,2024-09-17,Intune
CI709865,APP3853221629,user4176,Encrypted,2024-08-27,Intune
CI676568,HP6454271630,user1280,,2024-09-18,SCCM
CI168494,APP7570611632,user3723,Encrypted,2024-09-25,Intune
CI813186,LEN6581811634,user2598,,2024-09-18,Intune
CI157124,LEN1625631636,user5920,Not Encrypted,2024-08-28,Intune
CI678926,HP5422761637,user1757,Encrypted,2024-10-19,JAMF
CI372495,DEL2544361638,user4039,Encrypted,2024-08-24,SCCM
CI149494,DEL7446201639,user6382,,2024-08-07,SCCM
CI625429,MIC8441271640,user1543,Unknown,2024-08-15,JAMF
CI887624,APP9345511642,user6585,Encrypted,2024-09-23,SCCM
CI848750,MIC9677551643,user9933,Encrypted,2024-09-14,Intune
CI834022,LEN4619271644,user4566,,2024-09-15,SCCM
CI495819,DEL3312601645,user8900,Unknown,2024-10-14,JAMF
CI889628,LEN5567421647,user7614,Encrypted,2024-09-23,Intune
CI495080,LEN9829371648,user8455,Encrypted,2024-09-27,Intune
CI362272,HP2219601649,user5325,Encrypted,2024-10-15,JAMF
CI886488,MIC5771161650,user5743,Encrypted,2024-10-05,JAMF
CI379622,APP5994971653,user1198,Encrypted,2024-09-22,SCCM
CI742362,APP1731471654,user4783,Not Encrypted,2024-10-02,SCCM
CI869336,APP3430891655,user3751,Encrypted,2024-10-27,Intune
CI628493,MIC5011221657,user1795,,2024-09-18,JAMF
CI186086,MIC4670671658,user1160,Not Encrypted,2024-09-15,SCCM
CI957646,DEL5683251659,user7951,,2024-09-30,JAMF
CI635827,APP6949451661,user5122,Encrypted,2024-10-27,JAMF
CI260862,DEL4399281662,,,2024-10-18,JAMF
CI165643,MIC4783811663,user1059,Unknown,2024-09-27,JAMF
CI660867,APP4350591664,user7800,,2024-08-24,SCCM
CI815573,DEL5469491666,user9763,Encrypted,2024-08-05,Intune
CI185411,LEN1073051667,user2633,,2024-10-29,Intune
CI809885,HP4603651669,user9282,Encrypted,2024-10-30,SCCM
CI903647,DEL9301741670,user8528,,2024-09-29,JAMF
